"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","nicolasnosal.fr/109.234.164.68","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFGDCCBACgAwIBAgISBPLSQSC4QWtKysecgx9OrPuJMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwMTMwMTM1NjUwWhcNMjUwNDMwMTM1NjQ5WjAaMRgwFgYDVQQDEw9uaWNvbGFzbm9zYWwuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC8DtcimXPvbjYSU4J6rLWamH16sqrtmw7wIZa0VPoTGyLaRbgsOaF3YPhEG8YnginGDEEgGY/elynynUfG7l0/hn6MZo6mmbdU1ttR1ZCDQYSJ6oQNdHNCXUsTbBRCjxcZod2PGFCADEJ2s9V4/JO/ouq/TXruV11o2JljgUvV3S6zqAmpXFweXpyNIshBlh6Ft8sWeyG80cpCIbeTEolqhS1wIkgbNbV1nHQllOMGw3qjRrt9J8LMoa9Zyn8fi1rK2UqPrr5pnXiI5rho+ZxqHVE3aijMSxcsiAYnSsKZhrd8NX9D8VdhXfl2Yb2r886VP0jzTAmpS0MB51U6qMKPAgMBAAGjggI9MIICOTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFC6MNccdk3GZ+FPM+e0fPXRuPDGoMB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMC5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wRQYDVR0RBD4wPIIUbWFpbC5uaWNvbGFzbm9zYWwuZnKCD25pY29sYXNub3NhbC5mcoITd3d3Lm5pY29sYXNub3NhbC5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB2AKLjCuRF772tm3447Udnd1PXgluElNcrXhssxLlQpEfnAAABlLe1oTwAAAQDAEcwRQIgBHljc8apot/mUPEaAGDE1QL7/2jy6XHPPkIzve+KIRwCIQDcgGwHaFoY9LdL0CQAYWDx+olpL1/4rcq9vYJ785F9MwB1ABNK3xq1mEIJeAxv70x6kaQWtyNJzlhXat+u2qfCq+AiAAABlLe1omMAAAQDAEYwRAIgIbOz4CosALyJF+hDAjv+lsTP7jyyoeyX4+CoL7JrRrICIFYpa+fERc5PjwAflBsBP6Znpr2Q9HbYSKEr5IcxjPsjMA0GCSqGSIb3DQEBCwUAA4IBAQBmqebvs3zEEiylYQDqz8EcLguBMowuwiNwba5tp/HzShqOi5Lb/1hDCBlHoPOIxgIfFrjbbply4wmFuxKvHVab/pZL/s7FVSuCLgfum2YhEyBN832EsrbJGFt6AVD0Avnl+4QDA4QM2JPdojNOX3XZ0JQf51fApDT0rtS8IGz/RICrNv49EdRURYGGxQ3iRCA9VYSm7Qdop0HTjLQhFoPGuTQkRfcXOpaMO1VmP9dugAMab+iWabtwahPXyoBtYLN7g/kwds+glsBGLZencqcUQ2fHH3BN+Rwqfs/fpfi3SQyZBsNk5yJ12g4Bz38OYX1yo80STtC/+5f2h8jL/C/k\n-----END CERTIFICATE-----","",""
"cert_commonName","nicolasnosal.fr/109.234.164.68","443","OK","nicolasnosal.fr","",""
"cert_commonName_wo_SNI","nicolasnosal.fr/109.234.164.68","443","INFO","no CN field in subject","",""
"cert_subjectAltName","nicolasnosal.fr/109.234.164.68","443","INFO","mail.nicolasnosal.fr nicolasnosal.fr www.nicolasnosal.fr","",""
"cert_trust","nicolasnosal.fr/109.234.164.68","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","nicolasnosal.fr/109.234.164.68","443","OK","passed.","",""
"cert_certificatePolicies_EV","nicolasnosal.fr/109.234.164.68","443","INFO","no","",""
"cert_expirationStatus","nicolasnosal.fr/109.234.164.68","443","OK","38 >= 30 days","",""
"cert_notBefore","nicolasnosal.fr/109.234.164.68","443","INFO","2025-01-30 13:56","",""
"cert_notAfter","nicolasnosal.fr/109.234.164.68","443","OK","2025-04-30 13:56","",""
"cert_extlifeSpan","nicolasnosal.fr/109.234.164.68","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","nicolasnosal.fr/109.234.164.68","443","INFO","not present","",""
"cert_crlDistributionPoints","nicolasnosal.fr/109.234.164.68","443","INFO","--","",""
"cert_ocspURL","nicolasnosal.fr/109.234.164.68","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","nicolasnosal.fr/109.234.164.68","443","OK","offered","",""
"cert_ocspRevoked","nicolasnosal.fr/109.234.164.68","443","OK","not revoked","",""
"cert_mustStapleExtension","nicolasnosal.fr/109.234.164.68","443","INFO","--","",""
"DNS_CAArecord","nicolasnosal.fr/109.234.164.68","443","LOW","--","",""
"certificate_transparency","nicolasnosal.fr/109.234.164.68","443","OK","yes (certificate extension)","",""
"certs_countServer","nicolasnosal.fr/109.234.164.68","443","INFO","2","",""
"certs_list_ordering_problem","nicolasnosal.fr/109.234.164.68","443","INFO","no","",""
"cert_caIssuers","nicolasnosal.fr/109.234.164.68","443","INFO","R10 (Let's Encrypt from US)","",""
